threads,particles,numb_timestep,size_timestep
1,10,10,1.905600e-05
1,10,10,1.797300e-05
1,10,10,1.776300e-05
1,10,10,1.852500e-05
1,10,10,1.962700e-05
1,10,10,1.739300e-05
1,10,10,1.806300e-05
1,10,10,1.749300e-05
1,10,10,1.811400e-05
1,10,10,1.793400e-05
1,10,100,1.938330e-04
1,10,100,1.388590e-04
1,10,100,1.390100e-04
1,10,100,1.364660e-04
1,10,100,1.408730e-04
1,10,100,1.408740e-04
1,10,100,1.370960e-04
1,10,100,2.127780e-04
1,10,100,1.389710e-04
1,10,100,1.378180e-04
1,10,1000,1.357952e-03
1,10,1000,1.408096e-03
1,10,1000,1.379062e-03
1,10,1000,1.363523e-03
1,10,1000,1.362390e-03
1,10,1000,1.355016e-03
1,10,1000,1.819626e-03
1,10,1000,1.380605e-03
1,10,1000,1.496481e-03
1,10,1000,1.484028e-03
1,10,10000,1.452988e-02
1,10,10000,1.396193e-02
1,10,10000,1.358168e-02
1,10,10000,1.354079e-02
1,10,10000,1.369346e-02
1,10,10000,1.370957e-02
1,10,10000,1.375966e-02
1,10,10000,1.754847e-02
1,10,10000,1.359574e-02
1,10,10000,1.353786e-02
1,100,10,9.101130e-04
1,100,10,9.103740e-04
1,100,10,1.045046e-03
1,100,10,9.580530e-04
1,100,10,9.022390e-04
1,100,10,9.074190e-04
1,100,10,9.068670e-04
1,100,10,9.065070e-04
1,100,10,9.015780e-04
1,100,10,9.071380e-04
1,100,100,9.091950e-03
1,100,100,9.104273e-03
1,100,100,9.088353e-03
1,100,100,9.107519e-03
1,100,100,1.027922e-02
1,100,100,9.132566e-03
1,100,100,9.133718e-03
1,100,100,9.343130e-03
1,100,100,9.983068e-03
1,100,100,9.130432e-03
1,100,1000,9.135975e-02
1,100,1000,9.564266e-02
1,100,1000,9.247436e-02
1,100,1000,9.230494e-02
1,100,1000,9.289393e-02
1,100,1000,9.095966e-02
1,100,1000,9.243371e-02
1,100,1000,9.321088e-02
1,100,1000,9.153262e-02
1,100,1000,9.515649e-02
1,100,10000,9.263143e-01
1,100,10000,9.205235e-01
1,100,10000,9.218647e-01
1,100,10000,9.221417e-01
1,100,10000,9.260199e-01
1,100,10000,9.256299e-01
1,100,10000,9.240890e-01
1,100,10000,9.281983e-01
1,100,10000,9.206908e-01
1,100,10000,9.233173e-01
1,1000,10,8.911193e-02
1,1000,10,8.886022e-02
1,1000,10,8.923155e-02
1,1000,10,8.984655e-02
1,1000,10,8.958463e-02
1,1000,10,8.941893e-02
1,1000,10,8.952649e-02
1,1000,10,8.956109e-02
1,1000,10,9.151598e-02
1,1000,10,9.006280e-02
1,1000,100,8.937352e-01
1,1000,100,9.040717e-01
1,1000,100,9.155190e-01
1,1000,100,9.068404e-01
1,1000,100,9.020910e-01
