threads,particles,numb_timestep,size_timestep
1,10,10000,1.66E-02
1,10,10000,1.63E-02
1,10,10000,1.62E-02
1,10,10000,1.69E-02
1,10,10000,1.65E-02
1,10,10000,1.70E-02
1,10,10000,1.63E-02
1,10,10000,1.65E-02
1,10,10000,1.69E-02
1,10,10000,1.63E-02
1,100,10000,1.47E+00
1,100,10000,1.48E+00
1,100,10000,1.46E+00
1,100,10000,1.50E+00
1,100,10000,1.47E+00
1,100,10000,1.46E+00
1,100,10000,1.49E+00
1,100,10000,1.51E+00
1,100,10000,1.50E+00
1,100,10000,1.63E+00
1,1000,10000,1.47E+02
1,1000,10000,1.44E+02
1,1000,10000,1.45E+02
1,1000,10000,1.44E+02
1,1000,10000,1.44E+02
1,1000,10000,1.44E+02
1,1000,10000,1.44E+02
1,1000,10000,1.45E+02
1,1000,10000,1.44E+02
1,1000,10000,1.45E+02
2,10,10000,1.70E-02
2,10,10000,1.69E-02
2,10,10000,1.63E-02
2,10,10000,1.58E-02
2,10,10000,1.53E-02
2,10,10000,1.20E-02
2,10,10000,1.77E-02
2,10,10000,1.66E-02
2,10,10000,1.63E-02
2,10,10000,1.47E-02
2,100,10000,9.10E-01
2,100,10000,8.89E-01
2,100,10000,9.31E-01
2,100,10000,8.25E-01
2,100,10000,8.15E-01
2,100,10000,8.26E-01
2,100,10000,7.95E-01
2,100,10000,8.43E-01
2,100,10000,7.96E-01
2,100,10000,7.98E-01
2,1000,10000,8.35E+01
2,1000,10000,8.36E+01
2,1000,10000,8.28E+01
2,1000,10000,8.20E+01
2,1000,10000,8.09E+01
2,1000,10000,7.92E+01
2,1000,10000,7.92E+01
2,1000,10000,8.07E+01
2,1000,10000,8.04E+01
2,1000,10000,8.05E+01
4,10,10000,1.78E-02
4,10,10000,1.61E-02
4,10,10000,1.63E-02
4,10,10000,2.03E-02
4,10,10000,1.34E-02
4,10,10000,1.71E-02
4,10,10000,1.76E-02
4,10,10000,1.84E-02
4,10,10000,1.79E-02
4,10,10000,1.71E-02
4,100,10000,5.56E-01
4,100,10000,5.26E-01
4,100,10000,5.52E-01
4,100,10000,5.23E-01
4,100,10000,5.49E-01
4,100,10000,5.48E-01
4,100,10000,5.45E-01
4,100,10000,5.96E-01
4,100,10000,5.23E-01
4,100,10000,5.31E-01
4,1000,10000,5.20E+01
4,1000,10000,5.16E+01
4,1000,10000,5.27E+01
4,1000,10000,5.70E+01
4,1000,10000,5.64E+01
4,1000,10000,5.44E+01
4,1000,10000,5.42E+01
4,1000,10000,5.30E+01
4,1000,10000,5.50E+01
4,1000,10000,5.32E+01
