threads,particles,numb_timestep,size_timestep
1,10,10,1.835400e-05
1,10,10,1.809400e-05
1,10,10,1.757300e-05
1,10,10,1.735300e-05
1,10,10,1.976700e-05
1,10,10,1.732200e-05
1,10,10,1.719300e-05
1,10,10,1.786300e-05
1,10,10,1.693200e-05
1,10,10,1.743200e-05
1,10,100,1.528560e-04
1,10,100,1.982510e-04
1,10,100,1.412240e-04
1,10,100,1.809780e-04
1,10,100,1.425970e-04
1,10,100,1.394210e-04
1,10,100,1.367660e-04
1,10,100,1.361040e-04
1,10,100,1.390700e-04
1,10,100,1.403730e-04
1,10,1000,1.340680e-03
1,10,1000,1.370255e-03
1,10,1000,1.328817e-03
1,10,1000,1.349346e-03
1,10,1000,1.359355e-03
1,10,1000,1.358002e-03
1,10,1000,1.342753e-03
1,10,1000,1.364254e-03
1,10,1000,1.364745e-03
1,10,1000,1.394370e-03
1,100,10,9.207240e-04
1,100,10,9.053350e-04
1,100,10,9.062760e-04
1,100,10,9.554980e-04
1,100,10,9.041930e-04
1,100,10,9.054550e-04
1,100,10,9.025400e-04
1,100,10,9.151940e-04
1,100,10,9.256730e-04
1,100,10,9.533750e-04
1,100,100,9.538225e-03
1,100,100,9.206234e-03
1,100,100,9.061022e-03
1,100,100,9.104524e-03
1,100,100,9.081660e-03
1,100,100,9.177040e-03
1,100,100,9.097541e-03
1,100,100,9.125463e-03
1,100,100,9.114663e-03
1,100,100,9.163053e-03
1,100,1000,9.105226e-02
1,100,1000,9.297276e-02
1,100,1000,9.315310e-02
1,100,1000,9.168307e-02
1,100,1000,9.313811e-02
1,100,1000,9.320708e-02
1,100,1000,9.109778e-02
1,100,1000,9.246751e-02
1,100,1000,9.319740e-02
1,100,1000,9.897451e-02
1,1000,10,9.525130e-02
1,1000,10,9.070793e-02
1,1000,10,8.953075e-02
1,1000,10,8.963993e-02
1,1000,10,9.044441e-02
1,1000,10,9.084476e-02
1,1000,10,9.082284e-02
1,1000,10,8.934680e-02
1,1000,10,9.085808e-02
1,1000,10,8.953081e-02
1,1000,100,9.018696e-01
1,1000,100,9.085423e-01
1,1000,100,9.016605e-01
1,1000,100,8.987033e-01
1,1000,100,8.980396e-01
1,1000,100,9.009221e-01
1,1000,100,9.101853e-01
1,1000,100,9.276209e-01
1,1000,100,9.238567e-01
1,1000,100,9.054501e-01
1,1000,1000,9.151301e+00
1,1000,1000,9.176513e+00
1,1000,1000,9.159326e+00
1,1000,1000,9.102767e+00
1,1000,1000,9.084321e+00
1,1000,1000,9.092456e+00
1,1000,1000,9.051034e+00
1,1000,1000,9.055930e+00
1,1000,1000,9.111301e+00
1,1000,1000,9.127398e+00
2,10,10,1.143140e-04
2,10,10,8.460800e-05
2,10,10,9.087000e-05
2,10,10,1.276190e-04
2,10,10,1.050660e-04
2,10,10,1.051270e-04
2,10,10,7.101300e-05
2,10,10,7.615200e-05
2,10,10,9.319400e-05
2,10,10,9.183200e-05
2,10,100,7.398350e-04
2,10,100,3.100000e-04
2,10,100,2.554880e-04
2,10,100,1.904460e-04
2,10,100,1.936030e-04
2,10,100,2.038620e-04
2,10,100,3.174840e-04
2,10,100,3.007020e-04
2,10,100,2.637740e-04
2,10,100,2.109540e-04
2,10,1000,1.503485e-03
2,10,1000,1.315783e-03
2,10,1000,2.606830e-03
2,10,1000,1.756609e-03
2,10,1000,3.061592e-03
2,10,1000,2.997311e-03
2,10,1000,3.183670e-03
2,10,1000,1.373261e-03
2,10,1000,1.755637e-03
2,10,1000,2.978405e-03
2,100,10,6.364620e-04
2,100,10,6.167640e-04
2,100,10,6.071960e-04
2,100,10,6.165140e-04
2,100,10,5.336190e-04
2,100,10,5.883010e-04
2,100,10,1.104428e-03
2,100,10,5.361140e-04
2,100,10,1.014900e-03
2,100,10,7.200680e-04
2,100,100,5.060984e-03
2,100,100,5.361397e-03
2,100,100,5.197660e-03
2,100,100,5.971358e-03
2,100,100,5.007834e-03
2,100,100,7.454856e-03
