threads,particles,numb_timestep,size_timestep
1,10,10000,1.432884e-02
1,10,10000,1.404540e-02
1,10,10000,1.347280e-02
1,10,10000,1.408284e-02
1,10,10000,1.387485e-02
1,10,10000,1.373536e-02
1,10,10000,1.403424e-02
1,10,10000,1.497762e-02
1,10,10000,1.386637e-02
1,10,10000,1.373562e-02
1,100,10000,9.464932e-01
1,100,10000,9.396164e-01
1,100,10000,9.563644e-01
1,100,10000,9.614718e-01
1,100,10000,9.341929e-01
1,100,10000,9.320161e-01
1,100,10000,9.464766e-01
1,100,10000,1.293470e+00
1,100,10000,9.733087e-01
1,100,10000,1.030834e+00
1,1000,10000,9.182793e+01
1,1000,10000,9.247572e+01
1,1000,10000,9.255594e+01
1,1000,10000,9.151530e+01
1,1000,10000,9.109511e+01
1,1000,10000,9.148655e+01
1,1000,10000,9.139997e+01
1,1000,10000,9.268916e+01
1,1000,10000,9.441234e+01
1,1000,10000,9.445993e+01
2,10,10000,2.426437e-02
2,10,10000,1.232366e-02
2,10,10000,1.388347e-02
2,10,10000,1.363645e-02
2,10,10000,2.457633e-02
2,10,10000,2.415786e-02
2,10,10000,1.242926e-02
2,10,10000,2.435685e-02
2,10,10000,1.270968e-02
2,10,10000,2.390039e-02
2,100,10000,5.559923e-01
2,100,10000,5.476878e-01
2,100,10000,5.115302e-01
2,100,10000,5.496096e-01
2,100,10000,5.674213e-01
2,100,10000,6.669786e-01
2,100,10000,5.327539e-01
2,100,10000,5.482041e-01
2,100,10000,5.533348e-01
2,100,10000,6.086200e-01
2,1000,10000,5.085642e+01
2,1000,10000,5.114225e+01
2,1000,10000,4.977806e+01
2,1000,10000,5.049000e+01
2,1000,10000,4.980498e+01
2,1000,10000,4.980957e+01
2,1000,10000,5.029138e+01
2,1000,10000,5.001871e+01
2,1000,10000,4.985088e+01
2,1000,10000,5.083179e+01
4,10,10000,1.339290e-02
4,10,10000,2.513607e-02
4,10,10000,2.560276e-02
4,10,10000,2.484330e-02
4,10,10000,2.488264e-02
4,10,10000,2.407119e-02
4,10,10000,2.522108e-02
4,10,10000,2.658461e-02
4,10,10000,2.608937e-02
4,10,10000,2.614151e-02
4,100,10000,4.015465e-01
4,100,10000,4.157791e-01
4,100,10000,4.351856e-01
4,100,10000,3.586188e-01
4,100,10000,3.633998e-01
4,100,10000,4.063514e-01
4,100,10000,4.022528e-01
4,100,10000,3.726017e-01
4,100,10000,3.812021e-01
4,100,10000,4.053255e-01
4,1000,10000,3.419097e+01
4,1000,10000,3.427091e+01
4,1000,10000,3.426738e+01
4,1000,10000,3.498360e+01
4,1000,10000,3.496685e+01
4,1000,10000,3.462018e+01
4,1000,10000,3.491147e+01
4,1000,10000,3.501894e+01
4,1000,10000,3.540183e+01
4,1000,10000,3.462311e+01
