threads,particles,numb_timestep,size_timestep
1,10,10,1.75E-05
1,10,10,1.75E-05
1,10,10,1.74E-05
1,10,10,1.72E-05
1,10,10,1.71E-05
1,10,10,1.70E-05
1,10,10,1.75E-05
1,10,10,1.70E-05
1,10,10,1.79E-05
1,10,10,1.73E-05
1,10,100,1.37E-04
1,10,100,1.36E-04
1,10,100,1.37E-04
1,10,100,1.36E-04
1,10,100,1.36E-04
1,10,100,1.37E-04
1,10,100,1.36E-04
1,10,100,1.36E-04
1,10,100,1.38E-04
1,10,100,1.36E-04
1,10,1000,1.37E-03
1,10,1000,1.38E-03
1,10,1000,1.35E-03
1,10,1000,1.36E-03
1,10,1000,1.37E-03
1,10,1000,1.40E-03
1,10,1000,1.38E-03
1,10,1000,1.34E-03
1,10,1000,1.33E-03
1,10,1000,1.37E-03
1,100,10,9.28E-04
1,100,10,9.59E-04
1,100,10,9.03E-04
1,100,10,9.07E-04
1,100,10,9.72E-04
1,100,10,9.42E-04
1,100,10,9.32E-04
1,100,10,9.37E-04
1,100,10,9.40E-04
1,100,10,9.82E-04
1,100,100,9.18E-03
1,100,100,9.35E-03
1,100,100,9.48E-03
1,100,100,9.39E-03
1,100,100,9.16E-03
1,100,100,9.49E-03
1,100,100,9.14E-03
1,100,100,9.17E-03
1,100,100,9.15E-03
1,100,100,9.13E-03
1,100,1000,9.22E-02
1,100,1000,9.15E-02
1,100,1000,9.74E-02
1,100,1000,9.09E-02
1,100,1000,9.12E-02
1,100,1000,9.25E-02
1,100,1000,9.21E-02
1,100,1000,9.20E-02
1,100,1000,9.11E-02
1,100,1000,9.23E-02
1,1000,10,9.14E-02
1,1000,10,8.89E-02
1,1000,10,9.15E-02
1,1000,10,9.04E-02
1,1000,10,8.97E-02
1,1000,10,9.48E-02
1,1000,10,1.01E-01
1,1000,10,8.96E-02
1,1000,10,9.18E-02
1,1000,10,9.20E-02
1,1000,100,9.06E-01
1,1000,100,9.01E-01
1,1000,100,9.00E-01
1,1000,100,8.99E-01
1,1000,100,9.11E-01
1,1000,100,9.02E-01
1,1000,100,9.01E-01
1,1000,100,9.07E-01
1,1000,100,9.05E-01
1,1000,100,9.07E-01
1,1000,1000,9.05E+00
1,1000,1000,9.08E+00
1,1000,1000,9.03E+00
1,1000,1000,9.07E+00
1,1000,1000,9.03E+00
1,1000,1000,9.09E+00
1,1000,1000,9.10E+00
1,1000,1000,9.09E+00
1,1000,1000,9.14E+00
1,1000,1000,9.05E+00
2,10,10,1.15E-04
2,10,10,1.08E-04
2,10,10,1.04E-04
2,10,10,9.27E-05
2,10,10,1.00E-04
2,10,10,8.54E-05
2,10,10,9.74E-05
2,10,10,7.78E-05
2,10,10,1.11E-04
2,10,10,9.53E-05
2,10,100,2.21E-04
2,10,100,2.13E-04
2,10,100,3.21E-04
2,10,100,3.02E-04
2,10,100,2.15E-04
2,10,100,3.17E-04
2,10,100,1.99E-04
2,10,100,5.06E-04
2,10,100,2.28E-04
2,10,100,2.34E-04
2,10,1000,2.28E-03
2,10,1000,2.31E-03
2,10,1000,1.45E-03
2,10,1000,2.33E-03
2,10,1000,2.38E-03
2,10,1000,1.57E-03
2,10,1000,2.31E-03
2,10,1000,1.48E-03
2,10,1000,2.35E-03
2,10,1000,1.47E-03
2,100,10,7.88E-04
2,100,10,7.65E-04
2,100,10,7.64E-04
2,100,10,7.76E-04
2,100,10,7.62E-04
2,100,10,7.42E-04
2,100,10,7.50E-04
2,100,10,7.42E-04
2,100,10,7.68E-04
2,100,10,7.69E-04
2,100,100,7.60E-03
2,100,100,7.08E-03
2,100,100,7.34E-03
2,100,100,7.18E-03
2,100,100,7.09E-03
2,100,100,7.31E-03
2,100,100,7.13E-03
2,100,100,7.01E-03
2,100,100,7.21E-03
2,100,100,6.91E-03
2,100,1000,6.98E-02
2,100,1000,8.17E-02
2,100,1000,7.05E-02
2,100,1000,6.84E-02
2,100,1000,7.28E-02
2,100,1000,6.97E-02
2,100,1000,7.17E-02
2,100,1000,7.09E-02
2,100,1000,7.15E-02
2,100,1000,6.98E-02
2,1000,10,6.73E-02
2,1000,10,6.71E-02
2,1000,10,6.77E-02
2,1000,10,6.74E-02
2,1000,10,6.73E-02
2,1000,10,6.87E-02
2,1000,10,6.85E-02
2,1000,10,7.34E-02
2,1000,10,8.45E-02
2,1000,10,7.50E-02
2,1000,100,7.16E-01
2,1000,100,6.83E-01
2,1000,100,7.16E-01
2,1000,100,7.37E-01
2,1000,100,7.07E-01
2,1000,100,6.76E-01
2,1000,100,7.28E-01
2,1000,100,7.13E-01
2,1000,100,7.54E-01
2,1000,100,6.91E-01
2,1000,1000,7.32E+00
2,1000,1000,7.18E+00
2,1000,1000,7.19E+00
2,1000,1000,7.16E+00
2,1000,1000,7.14E+00
2,1000,1000,7.33E+00
2,1000,1000,7.23E+00
2,1000,1000,7.70E+00
2,1000,1000,7.42E+00
2,1000,1000,7.41E+00
4,10,10,1.91E-04
4,10,10,2.13E-04
4,10,10,2.16E-04
4,10,10,2.09E-04
4,10,10,2.22E-04
4,10,10,1.85E-04
4,10,10,1.97E-04
4,10,10,2.61E-04
4,10,10,1.92E-04
4,10,10,1.83E-04
4,10,100,4.33E-04
4,10,100,1.43E-03
4,10,100,2.79E-04
4,10,100,4.99E-04
4,10,100,3.98E-04
4,10,100,4.03E-04
4,10,100,4.88E-04
4,10,100,6.02E-04
4,10,100,4.00E-04
4,10,100,3.65E-04
4,10,1000,2.64E-03
4,10,1000,2.37E-03
4,10,1000,2.56E-03
4,10,1000,2.41E-03
4,10,1000,2.37E-03
4,10,1000,2.67E-03
4,10,1000,2.70E-03
4,10,1000,2.51E-03
4,10,1000,2.50E-03
4,10,1000,2.50E-03
4,100,10,5.92E-04
4,100,10,8.19E-04
4,100,10,5.77E-04
4,100,10,5.76E-04
4,100,10,5.66E-04
4,100,10,6.39E-04
4,100,10,5.78E-04
4,100,10,5.86E-04
4,100,10,6.86E-04
4,100,10,5.96E-04
4,100,100,4.46E-03
4,100,100,4.45E-03
4,100,100,4.38E-03
4,100,100,5.64E-03
4,100,100,4.41E-03
4,100,100,4.52E-03
4,100,100,4.93E-03
4,100,100,4.38E-03
4,100,100,4.55E-03
4,100,100,5.75E-03
4,100,1000,4.40E-02
4,100,1000,4.53E-02
4,100,1000,5.91E-02
4,100,1000,6.01E-02
4,100,1000,4.52E-02
4,100,1000,5.41E-02
4,100,1000,5.55E-02
4,100,1000,4.45E-02
4,100,1000,4.94E-02
4,100,1000,5.05E-02
4,1000,10,5.32E-02
4,1000,10,4.49E-02
4,1000,10,3.96E-02
4,1000,10,4.35E-02
4,1000,10,4.70E-02
4,1000,10,5.45E-02
4,1000,10,7.67E-02
4,1000,10,5.02E-02
4,1000,10,4.74E-02
4,1000,10,4.14E-02
4,1000,100,4.49E-01
4,1000,100,4.80E-01
4,1000,100,4.57E-01
4,1000,100,4.39E-01
4,1000,100,5.18E-01
4,1000,100,5.27E-01
4,1000,100,4.76E-01
4,1000,100,4.64E-01
4,1000,100,4.92E-01
4,1000,100,4.67E-01
4,1000,1000,4.88E+00
4,1000,1000,4.84E+00
4,1000,1000,4.77E+00
4,1000,1000,5.36E+00
4,1000,1000,5.67E+00
4,1000,1000,5.31E+00
4,1000,1000,4.99E+00
4,1000,1000,5.11E+00
4,1000,1000,4.70E+00
4,1000,1000,4.89E+00
