threads,particles,numb_timestep,size_timestep
1,10,10000,1.355908e-02
1,10,10000,1.348724e-02
1,10,10000,1.358743e-02
1,10,10000,1.343004e-02
1,10,10000,1.345286e-02
1,10,10000,1.348156e-02
1,10,10000,1.348931e-02
1,10,10000,1.352889e-02
1,10,10000,1.488575e-02
1,10,10000,1.338364e-02
1,100,10000,9.302376e-01
1,100,10000,9.293206e-01
1,100,10000,9.286918e-01
1,100,10000,9.429426e-01
1,100,10000,9.261311e-01
1,100,10000,9.265679e-01
1,100,10000,9.224934e-01
1,100,10000,9.314242e-01
1,100,10000,9.293633e-01
1,100,10000,9.268288e-01
1,1000,10000,9.369377e+01
1,1000,10000,9.147264e+01
1,1000,10000,9.229838e+01
1,1000,10000,9.149731e+01
1,1000,10000,9.115983e+01
1,1000,10000,9.088909e+01
1,1000,10000,9.146364e+01
1,1000,10000,9.092223e+01
1,1000,10000,9.072762e+01
1,1000,10000,9.085956e+01
2,10,10000,1.443292e-02
2,10,10000,1.422066e-02
2,10,10000,1.812949e-02
2,10,10000,2.330266e-02
2,10,10000,2.271581e-02
2,10,10000,2.211948e-02
2,10,10000,1.447291e-02
2,10,10000,2.244386e-02
2,10,10000,2.246864e-02
2,10,10000,2.237569e-02
2,100,10000,7.233760e-01
2,100,10000,7.304982e-01
2,100,10000,7.109511e-01
2,100,10000,7.261832e-01
2,100,10000,7.099305e-01
2,100,10000,7.816277e-01
2,100,10000,7.176091e-01
2,100,10000,7.397563e-01
2,100,10000,7.713119e-01
2,100,10000,7.304077e-01
2,1000,10000,7.339426e+01
2,1000,10000,7.355185e+01
2,1000,10000,7.246378e+01
2,1000,10000,7.263615e+01
2,1000,10000,7.294410e+01
2,1000,10000,7.321328e+01
2,1000,10000,7.352558e+01
2,1000,10000,7.232197e+01
2,1000,10000,7.308321e+01
2,1000,10000,7.302792e+01
4,10,10000,2.380389e-02
4,10,10000,2.420574e-02
4,10,10000,2.399877e-02
4,10,10000,2.378849e-02
4,10,10000,2.318886e-02
4,10,10000,2.431678e-02
4,10,10000,2.463901e-02
4,10,10000,2.386450e-02
4,10,10000,2.274007e-02
4,10,10000,2.314158e-02
4,100,10000,4.728247e-01
4,100,10000,5.214785e-01
4,100,10000,5.165093e-01
4,100,10000,5.257896e-01
4,100,10000,5.200405e-01
4,100,10000,5.223976e-01
4,100,10000,5.283934e-01
4,100,10000,5.037943e-01
4,100,10000,5.405120e-01
4,100,10000,5.301780e-01
4,1000,10000,4.845827e+01
4,1000,10000,4.761927e+01
4,1000,10000,4.768977e+01
4,1000,10000,4.727290e+01
4,1000,10000,4.747533e+01
4,1000,10000,4.789481e+01
4,1000,10000,4.799778e+01
4,1000,10000,4.759618e+01
4,1000,10000,4.822432e+01
4,1000,10000,5.186564e+01
