threads,particles,numb_timestep,size_timestep
1,10,10,2.000800e-05
1,10,10,1.841500e-05
1,10,10,1.754300e-05
1,10,10,1.765300e-05
1,10,10,1.781400e-05
1,10,10,1.821400e-05
1,10,10,1.719300e-05
1,10,10,1.790400e-05
1,10,10,1.728200e-05
1,10,10,1.872500e-05
1,10,100,1.368770e-04
1,10,100,1.555410e-04
1,10,100,1.587570e-04
1,10,100,1.378880e-04
1,10,100,1.386590e-04
1,10,100,2.122870e-04
1,10,100,1.400120e-04
1,10,100,2.788420e-04
1,10,100,2.227770e-04
1,10,100,2.249810e-04
1,10,1000,1.616867e-03
1,10,1000,1.366909e-03
1,10,1000,1.356569e-03
1,10,1000,1.456577e-03
1,10,1000,1.347051e-03
1,10,1000,1.380945e-03
1,10,1000,1.444925e-03
1,10,1000,1.508734e-03
1,10,1000,1.439425e-03
1,10,1000,1.402927e-03
1,100,10,9.774900e-04
1,100,10,9.509910e-04
1,100,10,9.074490e-04
1,100,10,9.080000e-04
1,100,10,9.084010e-04
1,100,10,9.443570e-04
1,100,10,1.042421e-03
1,100,10,9.570020e-04
1,100,10,9.186100e-04
1,100,10,9.196920e-04
1,100,100,9.501247e-03
1,100,100,9.196486e-03
1,100,100,9.275243e-03
1,100,100,9.478614e-03
1,100,100,9.218617e-03
1,100,100,9.151702e-03
1,100,100,9.161210e-03
1,100,100,9.238785e-03
1,100,100,9.204271e-03
1,100,100,9.583440e-03
1,100,1000,9.229380e-02
1,100,1000,9.254428e-02
1,100,1000,9.478816e-02
1,100,1000,9.259594e-02
1,100,1000,9.459637e-02
1,100,1000,9.357652e-02
1,100,1000,9.870658e-02
1,100,1000,9.225675e-02
1,100,1000,9.292607e-02
1,100,1000,9.129372e-02
1,1000,10,9.055389e-02
1,1000,10,9.426663e-02
1,1000,10,9.232019e-02
1,1000,10,9.266577e-02
1,1000,10,8.996318e-02
1,1000,10,9.208614e-02
1,1000,10,9.237084e-02
1,1000,10,9.043648e-02
1,1000,10,9.043317e-02
1,1000,10,9.290625e-02
1,1000,100,9.086637e-01
1,1000,100,9.489488e-01
1,1000,100,9.086513e-01
1,1000,100,9.134720e-01
1,1000,100,9.099175e-01
1,1000,100,9.349349e-01
1,1000,100,9.216920e-01
1,1000,100,9.275281e-01
1,1000,100,9.992099e-01
1,1000,100,9.312578e-01
1,1000,1000,9.067540e+00
1,1000,1000,9.188341e+00
1,1000,1000,9.114792e+00
1,1000,1000,9.068889e+00
1,1000,1000,9.127107e+00
1,1000,1000,9.138696e+00
1,1000,1000,9.159757e+00
1,1000,1000,9.197829e+00
1,1000,1000,9.135594e+00
1,1000,1000,9.293214e+00
2,10,10,1.004980e-04
2,10,10,1.347220e-04
2,10,10,1.202850e-04
2,10,10,9.213300e-05
2,10,10,1.391200e-04
2,10,10,1.114180e-04
2,10,10,7.755500e-05
2,10,10,7.460900e-05
2,10,10,9.507800e-05
2,10,10,8.831600e-05
2,10,100,2.075290e-04
2,10,100,1.984320e-04
2,10,100,2.359820e-04
2,10,100,2.019180e-04
2,10,100,2.797140e-04
2,10,100,2.979880e-04
2,10,100,2.161450e-04
2,10,100,3.500160e-04
2,10,100,2.513910e-04
2,10,100,3.425820e-04
2,10,1000,1.324399e-03
2,10,1000,1.569609e-03
2,10,1000,1.369905e-03
2,10,1000,2.347895e-03
2,10,1000,1.295034e-03
2,10,1000,1.696666e-03
2,10,1000,1.288352e-03
2,10,1000,1.305885e-03
2,10,1000,1.313630e-03
2,10,1000,1.334959e-03
2,100,10,9.105340e-04
2,100,10,8.371380e-04
2,100,10,6.945500e-04
2,100,10,5.741550e-04
2,100,10,6.370130e-04
2,100,10,6.185880e-04
2,100,10,5.355420e-04
2,100,10,5.731830e-04
2,100,10,5.268670e-04
2,100,10,5.598580e-04
2,100,100,4.739622e-03
2,100,100,6.197442e-03
2,100,100,4.791390e-03
2,100,100,4.758147e-03
2,100,100,5.235161e-03
2,100,100,8.662166e-03
2,100,100,4.911434e-03
2,100,100,5.703206e-03
2,100,100,6.561924e-03
2,100,100,5.190988e-03
2,100,1000,5.590816e-02
2,100,1000,4.838948e-02
2,100,1000,5.210623e-02
2,100,1000,5.922927e-02
2,100,1000,4.993227e-02
2,100,1000,4.882488e-02
2,100,1000,5.309802e-02
2,100,1000,4.737366e-02
2,100,1000,5.058765e-02
2,100,1000,4.681400e-02
2,1000,10,4.664599e-02
2,1000,10,4.537131e-02
2,1000,10,4.651471e-02
2,1000,10,4.500930e-02
2,1000,10,4.609728e-02
2,1000,10,4.487229e-02
2,1000,10,4.920333e-02
2,1000,10,5.853805e-02
2,1000,10,4.822836e-02
2,1000,10,4.690639e-02
2,1000,100,4.851306e-01
2,1000,100,4.731995e-01
2,1000,100,4.625955e-01
2,1000,100,5.278017e-01
2,1000,100,4.814157e-01
2,1000,100,5.084582e-01
2,1000,100,4.993134e-01
2,1000,100,5.473999e-01
2,1000,100,5.421334e-01
2,1000,100,4.897399e-01
2,1000,1000,5.013561e+00
2,1000,1000,5.014299e+00
2,1000,1000,4.844780e+00
2,1000,1000,4.944678e+00
2,1000,1000,4.955764e+00
2,1000,1000,4.937084e+00
2,1000,1000,4.801657e+00
2,1000,1000,4.960532e+00
2,1000,1000,4.935983e+00
2,1000,1000,4.971832e+00
4,10,10,1.817300e-04
4,10,10,1.736950e-04
4,10,10,1.954960e-04
4,10,10,1.826920e-04
4,10,10,1.844350e-04
4,10,10,1.692060e-04
4,10,10,1.740760e-04
4,10,10,1.665220e-04
4,10,10,1.822720e-04
4,10,10,1.525960e-04
4,10,100,4.385510e-04
4,10,100,4.291330e-04
4,10,100,3.688010e-04
4,10,100,4.283410e-04
4,10,100,3.819650e-04
4,10,100,3.545840e-04
4,10,100,5.392390e-04
4,10,100,3.792700e-04
4,10,100,4.897270e-04
4,10,100,4.198260e-04
4,10,1000,2.480403e-03
4,10,1000,2.306197e-03
4,10,1000,2.418788e-03
4,10,1000,2.456218e-03
4,10,1000,2.638970e-03
4,10,1000,2.532060e-03
4,10,1000,2.454134e-03
4,10,1000,2.490182e-03
4,10,1000,2.373273e-03
4,10,1000,2.577575e-03
4,100,10,6.770970e-04
4,100,10,7.140360e-04
4,100,10,6.881480e-04
4,100,10,4.368980e-04
4,100,10,7.162810e-04
4,100,10,4.748680e-04
4,100,10,4.356650e-04
4,100,10,4.252960e-04
4,100,10,6.592950e-04
4,100,10,4.235530e-04
4,100,100,4.463456e-03
4,100,100,2.854404e-03
4,100,100,3.296811e-03
4,100,100,3.483120e-03
4,100,100,2.899488e-03
4,100,100,3.510722e-03
4,100,100,2.882707e-03
4,100,100,4.659212e-03
4,100,100,2.900159e-03
4,100,100,3.081178e-03
4,100,1000,4.008474e-02
4,100,1000,2.822764e-02
4,100,1000,3.601359e-02
4,100,1000,2.768714e-02
4,100,1000,4.498315e-02
4,100,1000,3.413848e-02
4,100,1000,2.930529e-02
4,100,1000,3.695227e-02
4,100,1000,3.292574e-02
4,100,1000,3.978234e-02
4,1000,10,4.000226e-02
4,1000,10,2.349045e-02
4,1000,10,2.438947e-02
4,1000,10,2.279031e-02
4,1000,10,3.018400e-02
4,1000,10,3.620898e-02
4,1000,10,2.907310e-02
4,1000,10,2.732696e-02
4,1000,10,2.351520e-02
4,1000,10,2.554116e-02
4,1000,100,3.606809e-01
4,1000,100,3.280995e-01
4,1000,100,3.382912e-01
4,1000,100,3.762468e-01
4,1000,100,3.290238e-01
4,1000,100,3.328404e-01
4,1000,100,2.935001e-01
4,1000,100,2.751433e-01
4,1000,100,2.913707e-01
4,1000,100,3.631169e-01
4,1000,1000,3.286486e+00
4,1000,1000,3.419303e+00
4,1000,1000,3.195170e+00
4,1000,1000,3.319073e+00
4,1000,1000,3.441549e+00
4,1000,1000,3.471779e+00
4,1000,1000,3.301077e+00
4,1000,1000,3.480865e+00
4,1000,1000,3.438781e+00
4,1000,1000,3.328936e+00
