threads,particles,numb_timestep,size_timestep
1,10,10000,1.414704e-02
1,10,10000,1.355231e-02
1,10,10000,1.369411e-02
1,10,10000,1.480764e-02
1,10,10000,1.355513e-02
1,10,10000,1.358155e-02
1,10,10000,1.361753e-02
1,10,10000,1.365059e-02
1,10,10000,1.354144e-02
1,10,10000,1.358415e-02
1,100,10000,9.305359e-01
1,100,10000,9.400851e-01
1,100,10000,9.425317e-01
1,100,10000,9.263449e-01
1,100,10000,9.249016e-01
1,100,10000,9.339099e-01
1,100,10000,9.368306e-01
1,100,10000,9.393031e-01
1,100,10000,9.215475e-01
1,100,10000,9.483611e-01
1,1000,10000,9.049888e+01
1,1000,10000,9.090984e+01
1,1000,10000,9.253765e+01
1,1000,10000,9.259726e+01
1,1000,10000,9.306004e+01
1,1000,10000,9.441448e+01
1,1000,10000,9.494864e+01
1,1000,10000,9.457721e+01
1,1000,10000,9.350034e+01
1,1000,10000,9.407364e+01
2,10,10000,1.341476e-02
2,10,10000,1.323624e-02
2,10,10000,1.337133e-02
2,10,10000,1.942188e-02
2,10,10000,1.727566e-02
2,10,10000,1.699679e-02
2,10,10000,1.390258e-02
2,10,10000,1.382424e-02
2,10,10000,1.585483e-02
2,10,10000,1.609010e-02
2,100,10000,5.430382e-01
2,100,10000,5.397159e-01
2,100,10000,5.795670e-01
2,100,10000,5.444381e-01
2,100,10000,5.360143e-01
2,100,10000,5.292616e-01
2,100,10000,5.716403e-01
2,100,10000,5.269184e-01
2,100,10000,5.144463e-01
2,100,10000,5.214481e-01
2,1000,10000,5.205633e+01
2,1000,10000,5.089852e+01
2,1000,10000,5.185659e+01
2,1000,10000,5.064819e+01
2,1000,10000,5.150099e+01
2,1000,10000,4.987542e+01
2,1000,10000,5.047576e+01
2,1000,10000,4.996479e+01
2,1000,10000,4.994603e+01
2,1000,10000,5.388405e+01
4,10,10000,2.317349e-02
4,10,10000,2.402070e-02
4,10,10000,4.957274e-02
4,10,10000,2.567878e-02
4,10,10000,2.340277e-02
4,10,10000,2.426532e-02
4,10,10000,2.293294e-02
4,10,10000,2.403513e-02
4,10,10000,2.333736e-02
4,10,10000,2.380522e-02
4,100,10000,4.036998e-01
4,100,10000,3.828734e-01
4,100,10000,3.887971e-01
4,100,10000,3.716955e-01
4,100,10000,3.677696e-01
4,100,10000,3.987700e-01
4,100,10000,3.794503e-01
4,100,10000,4.076691e-01
4,100,10000,3.769257e-01
4,100,10000,3.902677e-01
4,1000,10000,3.443135e+01
4,1000,10000,3.431401e+01
4,1000,10000,3.449797e+01
4,1000,10000,3.443050e+01
4,1000,10000,3.455434e+01
4,1000,10000,3.762031e+01
4,1000,10000,3.419718e+01
4,1000,10000,3.423054e+01
4,1000,10000,3.576251e+01
4,1000,10000,3.479474e+01
